starName	title	thumbnail	description	threadlink
Nauroy	Klein-Venedig/Nauroy Station		Klein-Venedig is a massive asteroid habitat orbiting the star Nauroy that originally served as the headquarters of the Imperial Privileged Navalon Company's operations in the region. Not particularly successful in either trade or mining following the collapse of that enterprise, during the late war fought by Rosalind against Navalon it served as home port for a number of successful letter of marques and borderline pirates who have since gone legit as pirate chasers in the employ of the Federation.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67887744
Kesh	Kesh Habitats		The Kesh Habitats were originally an asteroid mining operation established by the Imperial Privileged Navalon Company that went independent following the Disconnect. Many of the habitats were occupied during the opening phase of the war by the Rosalindians for use as supply bases for their offensive onward to Rafel and Navalon and to use their immense resource gathering potential for their own war effort. The victorious Federation eventually replaced the Rosalindians, but the central government largely leaves the system to its own devices so long as the required contributions toward the maintenance of the Armada are met.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67887744
Rosalind	State of Rosalind		Rosalind (BiS-62-II) is a greenhouse world with most of its landmasses covered in thick lavender jungles. It proved to be an ideal location for advanced biotech research on the native flora—as well as a particularly convenient destination for transportees from Earth, including a large number of members of an apocalyptic new religious movement the UN and its great power masters were eager to dump somewhere remote. Following the Disconnect and the departure of the UN garrison, the planet and its scientific resources swiftly fell into the hands of the cultists who used it as a base to build up a bioroid army for their eventual attempt at conquering the region.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67887744
Real	The Real Union		In theory, the Real Union is a transnational organization representing the myriad interests of the peoples of the planet Real, a lush balmy oceanic world known for shellfish, beautiful beaches and bohemian, attractive locals. In reality it is a factious, dysfunctional patchwork of conflicting vested interests, an NGO that has outmassed its founding states and is legitimized by necessity as the current era runs headlong towards a new row of fighting between the civilized Motherworld and the Verge. Settled by a cabal of neoRaelian xenoseekers called the Primus Foundation, the UFOlogist Posadist Internationale and various transhumanist and posthumanist groups who saw a planet abundant in biomass and energy as a perfect canvas upon which to paint a New Humanity. Extensive cloning and transhumanistic self-modification had created a populous and diverse population, while permissive bioethics and an ever-expanding mercantile empire encourages migration and fuel a neverending (but some say bubble) economy.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67888140
Solidarity	British Socialist Republics		The British Socialish Republic is a totalitarian state, ostensibly organised according to the ideology of "Cosmo-Socialism". Political authority ultimately rests with The Party, the BSR's only permitted political party.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67926277
Praetoria	The Praetorian Ascendancy		Praetoria was one of the first non-earth like worlds colonized during the expansion into the Verge. Created from seed money of several eccentric tech billionaires on a quest to create their own perfect ideal society ended up taking a darker tone as the colonial leaders had far more transhuman ideology than they told the colonists. While rumors had swirled about some of the more unethical nature of their human experimentation the colony backers were wealthy enough to keep the UN Fleet away inspecting it. During the Disconnect, with the need of secrecy no longer needed, Praetoria announced the creation of the Ascendancy and had during the follow time period conquered and invaded the nearby systems of Dis and New Bangkok, the later of which prompted the UN to slap them with sanctions and embargo. Today Praetoia is slowly being terraformed into an Earthlike world with self-contained arcology cities built both above and below the surface like techno mushrooms dotting the world, with an increasingly overriding genetic caste system.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67936942
Stavanger	State of Stavanger		Stavenger is a dry cool world that is on the verge of having its ecology collapsed before the arrival of humans who pushed it back to stability. Smaller than the average planet, it was settled by a joint US-Midwestern and Taiwainess corporate cartel which shuttered during the Disconnect to take advantage of Stavenger’s heavy metals deposits that could be mined in shirt sleeve environments. The collapse of the economy sent the planet into a full Disrupted status, but thankfully the colonists were able to ride out the storm and where among the first to venture back out into the stars, and is a popular flag of convenience for traders. There is some tension the original government was an emergency councilor of the first leaders of the colonies and since then has taken on the shape if not form of old style aristocratic republic which has left those with new money jealous and some of those without any increasing agitation.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67936942
Yamato	The Akagi Shogunate of Yamato		Yamato has become a militarized police state, its population indoctrinated into the tenets of stellar-Bushido and belief that any minute the former colonies will make a move on them and close off their routes to the stars out of revenge, unless of course they strike first.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67936942
Aldebaran	Sultanate of Aldebaran		Born as a long term investment by the formerly rich oil kingdoms of Earth in a arranged intermarriage back conglomerate, the founders of the Sultanate had managed to have agents within the UN Survey Corp to falsify Aldebaran data making it appear to only have 2 jump points rather then its staggering 7 which mean it was easily snatched up by the backers when it went to the UN System Auction that was in place during the early days of the FTL expansion wave. Ironically news about the Survey Corps’s perfidy had caused the reforms that allowed van der Graff to obtain centralized power. During the Disconnect the system was able to weather the storm relying off a bought off UN Task Force which became their system military after the defeat of the mutiny. Aldebaran is unique in that it has no centralized planet that is settlement but in fact is civilization of rockhopppers and miners and pleasure stations arranged in a giant ring around the star. It is “known” that the Sultanate is the primer place for black market goods, PMCs, or fenced goods as its in system police looks the other way at piracy in system. In common parlance, when goes to Aldebaran they either go to the Gold Ring which is where the pleasure stations are or, the Shadow Ring where pirate stations and hidden bases are.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67936942
Neu Istanbul	Neu Istanbul		Neu Istanbul and Canaan are two habitable planets that sit on the tail ends of a cul-de-sac chain with the unfortunate disrupted world of Byron connected to both of them. Neu-Istanbal a joint Turko-German colony is cool temperate world of mostly seas and islands, and Canaan a world settled by New Canaanites religious movement which immediate butted heads with the agnostic secular Islam of the their negibhor. Both sides see the disruption of Byron, a former world settled by first the Interstellar Poet Society and then a dumping ground for “disruptive” minorities as a major source of concern and instability for the local region and both have strong forces on the planet propping up their favorite warlords and butting heads. In the past ten years there have been three serious naval encounters between the two sides and over a dozen “accidental” shelling of each other positions on the surface.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67936942
Canaan	Citizen Republic of Canaan		Neu Istanbul and Canaan are two habitable planets that sit on the tail ends of a cul-de-sac chain with the unfortunate disrupted world of Byron connected to both of them. Neu-Istanbal a joint Turko-German colony is cool temperate world of mostly seas and islands, and Canaan a world settled by New Canaanites religious movement which immediate butted heads with the agnostic secular Islam of the their negibhor. Both sides see the disruption of Byron, a former world settled by first the Interstellar Poet Society and then a dumping ground for “disruptive” minorities as a major source of concern and instability for the local region and both have strong forces on the planet propping up their favorite warlords and butting heads. In the past ten years there have been three serious naval encounters between the two sides and over a dozen “accidental” shelling of each other positions on the surface.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67936942
Midgard	Empire of Midgard		Midgard is a hellish world of terrestrial size that is tidally locked around the moon around a super jovian. The system sits on the road that leads to the alien zone, and spent most of its colonization period as a hidden system known only to pirates who have settled there over the decades. Now the planet it's still a pirate infested hellhole but the strongest pirate warlord, Roy “Redbeard” Nilson, reign name Emperor Barbarossa I had used his success as a raider to buy forces to buy proper warships and conquer his homeland. Officially the planet is mostly under his control but unofficially there three major pirate clans that are slowly moving to overthrow him and his “Empire.”	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67936942
Karth	The Star Kingdom of Karth		Karth was first colonized by a joint effort between the European Union and the United Kingdom, though several other waves or groups would follow in the years to come. Perhaps the most prominent or notable of these "second wave" or "latecomer" groups would be the sizable contingent of Japanese miners that were brought in by one of the mega-corps to mine the system for resources. Unfortunately, the Disconnect was a massive disaster for the planet that the local authorities, the so-called Confederation of Karth, were ill-equipped to handle. Fighting broke out among the different factions, triggering a local war that was eventually won by one "insert name here" who proceeded to reforge Karthian society to fit his idealized vision of a well ordered and noble society. He established the authoritarian and nationalistic monarchy that rules over Karth to this day. Though it is technically a constitutional monarchy, the monarchy possess a great deal of power along with the House of Lords within the National Legislative Assembly. The House of Commons is far from powerless, for example they must approve the creation of any new heritable titles, it is clear who the top dogs are.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67941028
Dorado	Dorado Directorate		Many things had changed since that first time Dorado cut itself off from Liga, and many more since the civil wars that followed its failed invasion of Novopol. Nowaday, however, it fields a strong, if autocratic government, with Director holding most of the power. It is not a complete dictatorship, as Doradoans will be quick to mention that its Assembly has the power to overrule any of the Director’s orders with a supermajority of sixty-five percent and needs to pass legislation every 10 years to approve the Director’s continued rule. To an outsider it remains fairly clear that the planet’s parliament is largely toothless, as even for liberal democracies such a supermajority is rarely available, and this goes double for and autocracy.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67947838
Haleuchia	The Republic of Haleuchia		The Republic is organized as a parliamentary democracy, with a single-chamber legislature. The National Assembly is that legislature, and operates as a mixed-member proportional body, with Delegates elected from individual districts and chosen from party lists. A Chief Delegate is elected by a majority of delegates, and appoints the cabinet. By tradition, most ministers are drawn from the Assembly, though it is not unusual for one or two to be drawn from outside the legislature. The right to vote is universal, and voting is mandatory, with strict limits placed on the ability for money or outside actors to influence elections. The executive is almost completely ceremonial, and consists of a President elected to a single 10-year term. The judicial branch is independent, and has the power of constituional review over legislature and regulation.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67988581
Eisenhower	United American Commonwealth		Known as the furthest place where the Stars and Strips fly and one of the few places where it is graced by the breeze of a free sky, the United American Commonwealth is a diverse democratic union of 'American' states known for an enterprising spirit and commitment to scientific exploration and research.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67989205
Parsis	The Stellar Hierocracy of Parsis		Today, the Sisterhood remains in control of Parsis, and with the Disconnect coming to the end have once again begun venturing back out onto the stars. While Ashavan has been lost in the Verge over the decades, the Sisterhood is confident that it can be a power once again in the region…perhaps by force if need be. However, it also knows it will not be alone now, and while it and its estranged sibling church have kept their distance as per their agreement, they also know their paths will cross again. Their destinies ordain it after all.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67991623
Istrelpia	The Istrelpia Authority		"The planet of Istrelpia was colonized due to its rare materials and resources, the colonization effort took place under the UN Mining Affairs Commission of 2536. It was supposed to remain a mining colony and nothing more than that, even in the infrastructure budget for the Istrelpia was limited and the domes around the mining centers were built to last only around two hundred years, however, with each passing year. The geological survey teams sent to Istrelpia by the UN reported more and more mineral veins that further fueled a ""Mining Rush"" to the planet. Spaceports were expanded and the population grew at a booming pace. With time this influence brought the planet into a crisis. It was related to the destruction of a UN ship by the High Admiralty because of suspicion of it being a pirate ship in camouflage. This was used by the two corporations to propose the dismantling of the admiralty and the navy, instead of extending their hands to the UN to take over the planet. Many believed that this had been plotted by the corporations and the admiralty resisted fiercely. Bringing about the execution of the high corporate hierarchy and the establishment of a militaristic system of government. A quite popular one that soon spread throughout the rest of the nation, it brought about both good and bad changes, but enough of the good kind to turn the population for the Authority government now in place.
"	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68010793
Albatross	The Pragmatic League		The alliance of megacorporations that rule Albatross is a semi-formal arrangement, christened with the words they used to describe their regrettable actions against the Republic : Pragmatic. The CEOs of the largest corps sit in an irregular council, that prefers to reach decisions unanimously, after prolonged debate. When disagreements do occur, votes are conducted as weighted by present company valuations. Up on Fullbright Station, democracy is dead. On the planet, the Albatross Republic still exists: it hold elections, votes on matters, collects taxes. however, it does all these things at the direction of corporate masters, who ultimately care little for its wishes. The Pragmatic League controls the orbit, manage foreign relations, decides on domestic policy and unquestionably governs this system.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68014648
Sol	Imperial States of America		Imperial Aristocratic Republic LARPing as Meritocracy Technocratic Republic LARPing as the United States of America (which is still its official on paper name). The ISA is home to hundreds of large family units built around shared corporations that control the fate of the nation, due to excessive recruitment and internal striving to the be the best as well as making sure they have the biggest and best bread and circus, the ISA despite suffering constant civil wars and palace coups is the largest Sol bound nation and military and requires a web of alliance of other powers to keep it tied down when the corporate gens are not killing each other.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68172364
Sol	Holy Russian Federation		Born from the Economic Collapse of 2215, the Holy Russian Federation was at first Russia's expression of dominion of northern Eurasia and Europe, but subsequently morphed into expression of German-Russian hybrid. Heavily and deliberately orthodox, it still suffers heavy insurgency from Catholic diehards that didn't give up when the Holy Chancellor bomb the Vatican.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68172364
Sol	The Trans-Indian Confederation		The largest alliance of democracies outside of the East African Federation left on Earth, the Trans-Indian Confederation is the economic powerhouse of Asia and the Pacific.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68172364
Sol	Qin Antarctica		Born as insane idea from a Chinese general fleeing the Collapse, Qin Antarctica is sino-zied state that rules over the last and now warm and comfortable great continents of the planet. Ruthless technocrats larping as Imperial China.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68172364
Sol	East Africa Federation		The last best hope of peace, the EAF is second largest economy in Sol, maintains the second largest military and is the main leader in keeping the ISA in its place, and largest supporter of UN. Most UN technologies come from EAF labs.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68172364
Sol	People's Republic of Ares		Mars was settled by "techbros" corporate overlord types, who promptly managed to make the colony very successful and begun terraforming the planet and after humiliating the ISA in the 5th Battle of Deimos, saw the next twenty years being undermined by NSA agents who organized dissident workers. The revolution succeeded and while Ares's star has been slowing down, the foundation built by its founders is still strong and annoying for the ISA remains a thorn in their side regarding their Olympus Mon colonies.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68172364
Sol	Montfort Hydrogen Electric Company		The original HE3 monopoly now diversified as a mega-corporation that spreads out across the Core and Sol.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68172364
Kennedy	Kennedy		A core world, this was one of the best sites for colonisation, and was settled in the earliest days of expansion. It is a world of hundred of millions, with vast economic and cultural output.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68035588
New Sichuan	New Sichuan		A core world, this was one of the best sites for colonisation, and was settled in the earliest days of expansion. It is a world of hundred of millions, with vast economic and cultural output.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68035588
New Earth	New Earth		A core world, this was one of the best sites for colonisation, and was settled in the earliest days of expansion. It is a world of hundred of millions, with vast economic and cultural output.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68035589
Matumaini	Matumaini		A core world, this was one of the best sites for colonisation, and was settled in the earliest days of expansion. It is a world of hundred of millions, with vast economic and cultural output.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68035590
Unity	Unity		A core world, this was one of the best sites for colonisation, and was settled in the earliest days of expansion. It is a world of hundred of millions, with vast economic and cultural output.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68035591
Rhine's Hope	Delta Alliance		In some families, not every child was equally loved, especially in a big family, and humanity is a very very big family. There was some neglected child here and there, some black sheep, some disowned unwanted kids, and then there was the golden child, the one who got the most love, the pride, and joy of the family and almost could do no wrong. The Delta Alliance was the UN's golden child. A pro-UN verge power, the Delta Alliance formed from three nations with histories strongly tied to the United Nations. The seed of the alliance was planted on Earth, long ago, during the age of colonization when three individuals came together to support the UN and were rewarded for their service. They were given three high tier planets to colonize and call their own.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68037424
Nahal	The Republic of Nahal		The capital city of Ptolemy was the largest and most advanced oasis city on Nahal's Creed and the seat of power to the Nahal Dynasty who resided on the Crescent Manor, a luxurious house on the crescent-shaped landmass in the middle of the giant oasis, at the center of Ptolemy. The manor was surrounded by many underwater defenses, giving off a false impression of defenselessness and keeping the view pretty. The Nahal Mining Guild kept a tap on the ore prices and relay the information to the free miners, making sure everyone was up-to-date on the market's demand and provide training and advice for those who want to be a miner. They helped countless poor turned themselves around. While most of the planet's citizens dropped their religious nature long ago and welcomed many new colonists, the new refugee from the middle-east still clung to their faith, creating conflict between the two generations. The fanatic and extremist, however, were harshly dealt with by the government for they will not tolerate such nonsense.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68037424
Yukon	Yukon Directorate		A pink sun where an unusual planet sat, full of wondrous things to explore. The Yukon Institute expanded, accepting colonists and researchers alike, turning it into the Yukon Directorate, a nation of thinkers and explorers, ever curious what more wonders the universe hold for mankind.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68037424
Artemis	Pentagona Worlds League		The PWL is nominally a representative democracy but in practice it is an oligarchy with the elected members of the Pentagona Diet tending to come from a select group of families and political interests dominating the five worlds. The Legislature consists of the six hundred members of the League Diet. After certain troubles in the early years of the League, including an invasion scare from Roland, the Diet formed several bureaus to act as executive bodies as it became apparent the Diet itself was nearly impossible to conduct real business with in a timely fashion. The Political Bureau, the Military Bureau, the Treasury Bureau, and so fourth. The real power of the Political Bureau soon eclipsed the general powers of the Diet itself. Constitutional changes saw that each member of the League appoints two representatives to the Politburo of the League in order to provide oversight; in reality the Politburo now dictates policy. The office of Director-General was established in order to coordinate the League Militias during an invasion scare and has sense developed into the chief executive of the League; while the President and the State Chancellor are elected by the electorate and the diet respectively the Politburo's Director-General heads the real organ of state power.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68040130
Fairchild	Inheritors of Ussela		Fairchild belongs to the Inheritors- priests of the machine- who say that the Outsiders built it to save Fairchild’s alien host from an ancient disaster by imprinting their minds in a vast digital afterlife, a place where life, death and time became irrelevant. The Inheritors have unearthed parts of this device, placing them in ships and in cities, purportedly to collect the mindstates of the dead at the time of their passing and convey them unto a digital heaven. To the layperson it would seem like superstition and nonsense, except that, occasionally, a soul of the departed returns from the machine in a gilded synthetic shell, all of its worldly knowledge and experience intact. It seems impossible in the cynical human world, but apparently real and tangible to the common people in every meaningful way.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68057371
New California	The People’s States of America		In the decades leading up to the collapse, tensions between America and its most far-flung colonies had nearly reached a boiling point. Citizens of what was known as the American Diaspora were sick and tired of oppressive and exploitative economic practices. Nearly a millennia after the American revolution, the second American Revolution erupted in the fires of the Disconnect. The colonies declared independence, one by one, over the course of two short months. The United States Space Force had been a paper tiger for years, albeit a large one. The rebellious colonials would have stood no chance if it were not for the simultaneous revolt of the United Nations Peacekeeping Force. While other fringe worlds dissolved into anarchy, the newly formed People’s States of America engaged in a crash-militarization program of epic proportions. Even so, the first battle of the PSA against their former colonial masters was a bloodbath. The People’s navy consisted of ramshackle escorts, barely even manned because of how shoddily constructed they were, and ore haulers with lasers and armor bolted on. The United States of America had the USSFV George Washington as the centerpiece of its fleet – a capital ship that outweighed and outgunned every single ship in the rebel navy. The US Navy shattered dozens of PSA hulls – but it wasn’t enough. Through force of numbers and sheer bloody-minded fanaticism, the newly formed Socialist state won the day. The American navy, already broken from its conflict with the UN, turned tail and headed home. And thus, from the ashes, was born a new nation. Dedicated to the principles that all men are created equal, and liberty and justice for all – for real this time.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68074003
Don Jaun	Don Juan League		A barren world rich with minerals and nothing else much. Refuge was originally meant to be a mining world only due to its poor habitability but the League was forced to settle on it since their planet was stolen by the UN and the Rhine Principality. It remained a horrible dirtball since its colonization day as the Delta War respiration had taken a heavy toll on the league, robbing them of any funding toward terraforming the planet into something worth living on. Most of the funding also went toward military pursuit. The 7 Stars Council seemed very determined to not lose any war again, however, they knew the war with the Delta will instantly involve the UN so they wisely stayed quiet for now.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68119723
New Acre	The Order of Knights Templar		As earth expanded her colonies and humanity reached out for the stars, it didn’t take long for problematic elements to emerge. While the UN fleet was able to handle most of the worst pirates and raiders, they were areas that didn’t receive attention either for being too remote or too politically divisive for a political body to operate in. As a result, some of the colonies in these areas languished in lawlessness. The situation gained the attention of the Catholic Church who decided to act. Leveraging its vast assets and influence it called upon willing colonists and faithful soldiers to join the waves of settlers and bring the fires of faith to the stars. Such fires would bring light and warmth to the oppressed, but also destruction to the wicked. It revived an ancient order, one dedicated to protecting travelers and the weak in the Holy Land. The new experiment was dubbed, the Knights Templar.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68173186
Paradise	The Pary Deza		The Pary Deza of the mid-twenty-eighth century is a total state, which every aspect of life directed by an enormous bureaucracy according to precisely compiled and continually updated actuarial tables, cost matricies, and even eugenical programs. Each citizen surrenders their genome to the state as a matter of course, receiving in return every possible (state-acknolwedged) need, including housing, education, personal effects, work, and a variety of cost-effecient entertainments and social settings. Registered children are birthed in huge state-run hatcheries according to government-run plans, and housed and educated in boarding complexes alongside the unregistered issue of privately-arranged romantic liaisons. As there is no concept of "household" beyond state-run civic organizations at the village/complex level, nor any significant personal property or marriage, such liaisons are conducted according strictly to free-love or informal barter arrangement principles. While external observers often consider the Deza a psychotic mass prison or inscrutable headless post-totalitarianism, the standard of living is generally high, and Dezans report a reasonable level of satisfiaction with both the material and immaterial sides of life. Critics point out, of course, that not only all education and entertainment but also all polling and statistics are produced purely by the Dezan state itself, and the argument invariably ends--or devolves from--there.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68328664
Terysica	The United Worlds of Tersyica		The UWT is a heavily militarized society, with the Overpopulation problem being solved with mass conscription. Once a bad crime, it is now a sign of patriotism. Before the Terysican Unification Agreement, the collection of nations had weak spots everywhere, but by fusing all of them together, they amassed a large, advanced empire by ridding their flaws with the strength of unified numbers and technology.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-68967604
