starName	date	title	thumbnail	description	threadmark
Bonus	2749	Enemy Unknown		PSA fleet elements discover an alien battleship guarding an underground complex.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-69534502
TORT-14	2749	Blockade Battle		Open war breaks out between the League of Independent Fleets and Pragmatic League over the blockade of Outer Oblivia.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-69586882
Sutakure	2749	Operation Unthinkable		The Ceberus Group steal the newly finished ship Tacitus from the Buckriders	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-69606682
Albatross	2749	Peace Breaks Out		The Pragmatic League signs a peace treaty with the LIF: effectively conceding the war	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-69764526
TORT-14	2749	Blockade Run Fails		The Asceancy Expeditionary Fleet is destroyed after attempting to bypass the blockade. They had fled to Albatross after the battle, but had to leave after the Pragmatic League signed a separate peace.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-69862239
Real	2749	Social Foundation of Xenotechnology		Real Union proposes to the nations of Larnax, Eisenhower as well as the involved UN taskforces the creation of a joint research body to pour over the findings. The proposed 'Social Foundation of Xenotechnology' [SFX], would be a voluntary association with primary facilities at Larnax and Real, who have both large contingents of well-established xenologists.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-69865440
Aldebaran	2749	Assembly of the Verge Founded		The All-States Congress announces the formation of the Assembly of the Verge: a Verge-led equivalent of the UN	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70017153
Sol	2749	Treaty of Paris Revised		The UN revises the Treaty of Paris	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70018827
Outer Oblivia	2749	The Battle of Outer Oblivia		League of Independent Fleets (LIF) and Republic of Oblivia (RoO) launched an all out assault on the home planet of the Ascendancy of Outer Oblivia. Following a brutal pair of engagements they successfully defeated the Ascendancy fleet in it's entirety.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70026597
Atreus	2749	Knives in the dark		Mycore launches a suprise attack on the Neo-Hellenistic Empire, destroying their navy.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70133339
Cyran	2749	Battle of Cyran		Unflagged combatants ambush a UN Taskforce	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70164044
Cyran	2749	Sons of the Verge Founded		The attackers at Cyran reveal themselves as the Sons of the Verge: a new terrorist group that opposes the UN. They quickly act as a focussing point for anti-UN sentiment in a dozen verge states.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70178699
Cyran	2749	Cyran Syndrome		The disease that ravaged the planet Cyran (official status: Disrupted), referred to here as Cyran Syndrome and colloquially known as the Cyran Plague for years was poorly understood until a formal UN factfinding mission lead by the 2nd Fleet made way to the planet. The Sigirannus Research Complex, perfectly preserved against the ravages of time by the fallen government's final contingency, held the answer.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70179674
Sutakure	2750	Operation Lazy Pyre		The Golden Lions launch investigative probes in Sutukare's supervolcano to better understand the cause of the planet's woes.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70249367
New California	2750	Dark Fate		An ISA supercarrier begins making its way out into the Verge	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70338302
Bonus	2750	Faction awoken: Successors		The PSA discover the cyro-facilities of The Successors, a humanoid species that has a long history with humanity	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70342442
Outer Oblivia	2750	The Artan Accusation		In breaking news it has been revealed by the League of Independent Fleets that High Admiral Buckner supposedly accepted a bribe to move Task Force Tribune away from Outer Oblivia in order to enable their invasion. The context for this release of information is currently unclear and the exact veracity of it difficult to ascertain. Galactic analysts are split almost 50/50 on how convincing the paper trail the Artan's have published is.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70455029
Sutakure	2750	Operation Gheist		Task Force Serpent takes battle to terrorist elements on Sutakure	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70461758
Sol	2750	Praetorian War Crimes Tribunals		In a major upset that has already drawn the ire of Verger commentators as well as progressive jurists within the EAF, no subordinates of Taskforces Ajakes or Marduk have been found guilty of war crimes in the highest court of international law at the Haguespol, in the western Holy Russian Federation.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70464053
REM-135	2750	Battle		Task Force Umbra and the Mycore Receiverate catch up with VOID forces	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70543409
Midgard	2749.9	The Midgard Debacle		The Praetorian Remnant ambushes a UN Taskforce in an enforcement action at Midgard.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70697627
Leitner's Second End	2750	Enemy Unknown		Task Force Haiye encounters a mysterious alien super-structure at the edge of the Leitner's Second End star system.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70706945
